entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
doituongapdung_so_giao_dich_chung_khoan_viet_nam,DoiTuongApDung,Sở giao dịch chứng khoán Việt Nam,Sở giao dịch chứng khoán Việt Nam,146468,gemini,1.0,"h) Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam;"
doituongapdung_to_chuc_kiem_toan_duoc_chap_thuan,DoiTuongApDung,Tổ chức kiểm toán được chấp thuận,Tổ chức kiểm toán được chấp thuận,146468,gemini,1.0,đ) Tổ chức kiểm toán được chấp thuận;
doituongapdung_to_chuc_niem_yet_to_chuc_dang_ky_giao_dich,DoiTuongApDung,"Tổ chức niêm yết, tổ chức đăng ký giao dịch","Tổ chức niêm yết, tổ chức đăng ký giao dịch",146468,gemini,1.0,"d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;"
doituongapdung_to_chuc_phat_hanh,DoiTuongApDung,Tổ chức phát hành,Tổ chức phát hành,146468,gemini,1.0,c) Tổ chức phát hành;
doituongapdung_to_chuc_ca_nhan_viet_nam,DoiTuongApDung,"Tổ chức, cá nhân Việt Nam","Tổ chức, cá nhân Việt Nam",146468,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
doituongapdung_to_chuc_ca_nhan_nuoc_ngoai,DoiTuongApDung,"Tổ chức, cá nhân nước ngoài","Tổ chức, cá nhân nước ngoài",146468,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
linhvuc_chung_khoan,LinhVuc,Chứng khoán,Chứng khoán,146468,gemini,1.0,trong lĩnh vực chứng khoán và thị trường chứng khoán
nganh_tai_chinh,Nganh,Tài chính,Tài chính,146468,gemini,0.9,Theo đề nghị của Bộ trưởng Bộ Tài chính.
nguoiky_nguyen_xuan_phuc,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,146468,gemini,1.0,Nguyễn Xuân Phúc
chucdanh_thu_truong,ChucDanh,Thứ trưởng,Thứ trưởng,150974,gemini,1.0,THỨ TRƯỞNG
coquan_bo_tai_chinh,CoQuan,Bộ Tài chính,Bộ Tài chính,150974,gemini,1.0,BỘ TÀI CHÍNH
doituongapdung_cac_doanh_nghiep,DoiTuongApDung,các doanh nghiệp,các doanh nghiệp,150974,gemini,1.0,"áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP"
doituongapdung_cac_to_chuc_ca_nhan_co_lien_quan_trong_hoat_dong_kiem_toan_noi_bo_cua_cac_don_vi_nay,DoiTuongApDung,các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này,các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này,150974,gemini,1.0,và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này
doituongapdung_co_quan_nha_nuoc,DoiTuongApDung,cơ quan nhà nước,cơ quan nhà nước,150974,gemini,1.0,"áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP"
doituongapdung_don_vi_su_nghiep_cong_lap,DoiTuongApDung,đơn vị sự nghiệp công lập,đơn vị sự nghiệp công lập,150974,gemini,1.0,"áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP"
linhvuc_kiem_toan_noi_bo,LinhVuc,Kiểm toán nội bộ,Kiểm toán nội bộ,150974,gemini,0.9,Ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ
nganh_tai_chinh,Nganh,Tài chính,Tài chính,150974,gemini,0.9,Website Chính phủ và Website Bộ Tài chính
nguoiky_ta_anh_tuan,NguoiKy,Tạ Anh Tuấn,Tạ Anh Tuấn,150974,gemini,1.0,Tạ Anh Tuấn
chucdanh_pho_thu_tuong_chinh_phu,ChucDanh,Phó Thủ tướng Chính phủ,Phó Thủ tướng Chính phủ,163441,gemini,1.0,Phó Thủ tướng Chính phủ
coquan_chinh_phu,CoQuan,Chính phủ,Chính phủ,163441,gemini,1.0,CHÍNH PHỦ
doituongapdung_ben_mua_bao_hiem,DoiTuongApDung,Bên mua bảo hiểm,Bên mua bảo hiểm,163441,gemini,1.0,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
doituongapdung_chi_nhanh_doanh_nghiep_bao_hiem_phi_nhan_tho_nuoc_ngoai,DoiTuongApDung,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài,163441,gemini,1.0,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
doituongapdung_chi_nhanh_doanh_nghiep_tai_bao_hiem_nuoc_ngoai,DoiTuongApDung,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,Chi nhánh doanh nghiệp tái bảo hiểm nước ngoài,163441,gemini,1.0,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
doituongapdung_co_quan_quan_ly_nha_nuoc_ve_hoat_dong_kinh_doanh_bao_hiem,DoiTuongApDung,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm,163441,gemini,1.0,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
doituongapdung_doanh_nghiep_bao_hiem_nhan_tho,DoiTuongApDung,Doanh nghiệp bảo hiểm nhân thọ,Doanh nghiệp bảo hiểm nhân thọ,163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
doituongapdung_doanh_nghiep_bao_hiem_phi_nhan_tho,DoiTuongApDung,Doanh nghiệp bảo hiểm phi nhân thọ,Doanh nghiệp bảo hiểm phi nhân thọ,163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
doituongapdung_doanh_nghiep_bao_hiem_suc_khoe,DoiTuongApDung,Doanh nghiệp bảo hiểm sức khỏe,Doanh nghiệp bảo hiểm sức khỏe,163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
doituongapdung_doanh_nghiep_moi_gioi_bao_hiem,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
doituongapdung_doanh_nghiep_tai_bao_hiem,DoiTuongApDung,Doanh nghiệp tái bảo hiểm,Doanh nghiệp tái bảo hiểm,163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
doituongapdung_nguoi_thu_huong,DoiTuongApDung,Người thụ hưởng,Người thụ hưởng,163441,gemini,1.0,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
doituongapdung_nguoi_duoc_bao_hiem,DoiTuongApDung,Người được bảo hiểm,Người được bảo hiểm,163441,gemini,1.0,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
doituongapdung_to_chuc_tuong_ho_cung_cap_bao_hiem_vi_mo,DoiTuongApDung,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,Tổ chức tương hỗ cung cấp bảo hiểm vi mô,163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
doituongapdung_to_chuc_va_ca_nhan_co_lien_quan_den_hoat_dong_kinh_doanh_bao_hiem,DoiTuongApDung,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm,163441,gemini,1.0,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
doituongapdung_to_chuc_ca_nhan_cung_cap_dich_vu_phu_tro_bao_hiem,DoiTuongApDung,"Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm","Tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm",163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
doituongapdung_van_phong_dai_dien_cua_doanh_nghiep_bao_hiem_nuoc_ngoai,DoiTuongApDung,Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài,Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài,163441,gemini,1.0,"Chi nhánh doanh nghiệp bảo hiểm phi nhân thọ nước ngoài, chi nhánh doanh nghiệp tái bảo hiểm nước ngoài (sau đây gọi là chi nhánh nước ngoài tại Việt Nam); Văn phòng đại diện của doanh nghiệp bảo hiểm nước ngoài, doanh nghiệp tái bảo hiểm nước ngoài, doanh nghiệp môi giới bảo hiểm nước ngoài, tập đoàn tài chính, bảo hiểm nước ngoài tại Việt Nam (sau đây gọi là văn phòng đại diện nước ngoài tại Việt Nam)."
doituongapdung_dai_ly_bao_hiem,DoiTuongApDung,Đại lý bảo hiểm,Đại lý bảo hiểm,163441,gemini,1.0,"Doanh nghiệp bảo hiểm phi nhân thọ, doanh nghiệp bảo hiểm nhân thọ, doanh nghiệp bảo hiểm sức khỏe (sau đây gọi là doanh nghiệp bảo hiểm), doanh nghiệp tái bảo hiểm, đại lý bảo hiểm, doanh nghiệp môi giới bảo hiểm, tổ chức, cá nhân cung cấp dịch vụ phụ trợ bảo hiểm, tổ chức tương hỗ cung cấp bảo hiểm vi mô."
linhvuc_bao_hiem,LinhVuc,Bảo hiểm,Bảo hiểm,163441,gemini,1.0,Luật Kinh doanh bảo hiểm
nganh_tai_chinh,Nganh,Tài chính,Tài chính,163441,gemini,0.9,Bộ trưởng Bộ Tài chính
nguoiky_le_minh_khai,NguoiKy,Lê Minh Khái,Lê Minh Khái,163441,gemini,1.0,Lê Minh Khái
chucdanh_pho_thong_doc,ChucDanh,Phó Thống đốc,Phó Thống đốc,164719,gemini,1.0,PHÓ THỐNG ĐỐC
coquan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,164719,gemini,1.0,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
doituongapdung_chi_nhanh_ngan_hang_nuoc_ngoai,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,164719,gemini,1.0,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước, ngân hàng, chi nhánh ngân hàng nước ngoài chịu trách nhiệm tổ chức thực hiện Thông tư này."
doituongapdung_ngan_hang,DoiTuongApDung,Ngân hàng,Ngân hàng,164719,gemini,1.0,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước, ngân hàng, chi nhánh ngân hàng nước ngoài chịu trách nhiệm tổ chức thực hiện Thông tư này."
doituongapdung_ngan_hang_nha_nuoc_viet_nam,DoiTuongApDung,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước,164719,gemini,1.0,"Thủ trưởng các đơn vị thuộc Ngân hàng Nhà nước, ngân hàng, chi nhánh ngân hàng nước ngoài chịu trách nhiệm tổ chức thực hiện Thông tư này."
linhvuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",164719,gemini,1.0,"Theo đề nghị của Chánh Thanh tra, giám sát ngân hàng;"
nganh_ngan_hang,Nganh,Ngân hàng,Ngân hàng,164719,gemini,1.0,"quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
nguoiky_doan_thai_son,NguoiKy,Đoàn Thái Sơn,Đoàn Thái Sơn,164719,gemini,1.0,Đoàn Thái Sơn
chucdanh_chu_tich_quoc_hoi,ChucDanh,Chủ tịch Quốc hội,Chủ tịch Quốc hội,166170,gemini,1.0,CHỦ TỊCH QUỐC HỘI
coquan_quoc_hoi,CoQuan,Quốc hội,Quốc hội,166170,gemini,1.0,QUỐC HỘI
doituongapdung_chi_nhanh_ngan_hang_nuoc_ngoai,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,166170,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài.
doituongapdung_co_quan_to_chuc_ca_nhan_co_lien_quan,DoiTuongApDung,"Cơ quan, tổ chức, cá nhân có liên quan","Cơ quan, tổ chức, cá nhân có liên quan",166170,gemini,1.0,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng..."
